obs,start,end,exponent_b,intercept_a,r2,latest_price,price_to_model,resid_q10_mult,resid_q50_mult,resid_q90_mult,symbol,ticker,rank,name,market_cap_usd,volume_24h_usd,exp_distance_to_btc,score
636,2024-05-23,2026-04-08,0.8830396253366759,-15.05184192179014,0.07078809767461491,0.041896115988492966,482.5495681510393,0.07500876455395944,0.3610001892503555,623.020082651392,NIGHT,NIGHT-USD,81,Midnight,696424449.0,33482654.0,0.8167796749830538,0.35101778929608274
810,2022-03-18,2024-06-04,-0.5015603394796787,-2.9567862703335717,0.1514597295236767,0.0003000000142492354,0.165965557895482,0.1796569337198348,1.5989030896512761,3.3077382421743797,SUI,SUI-USD,30,Sui,3798275074.0,491066495.0,2.2013796397994083,0.34326226913632807
2483,2019-06-21,2026-04-08,-0.30834012152087453,0.8997770470045348,0.14687357105659715,0.1182367354631424,0.535539807418915,0.4436527636671137,0.85014122123915,3.2855175136104204,ALGO,ALGO-USD,68,Algorand,1051469470.0,91780087.0,2.0081594218406043,0.33242051192428895
2005,2019-10-28,2025-04-23,-1.1767234186231008,4.847727879875795,0.2234475384546557,0.002833999926224351,0.17089670327767062,0.1108629690169696,0.3790566881419178,27.069527458744265,STX,STX-USD,108,Stacks,414682068.0,12765820.0,2.8765427189428303,0.33123328907060423
2026,2020-07-13,2026-04-08,0.19653195435172335,1.7901610998857123,0.06848750225406819,9.379142761230469,0.3506273160244272,0.4094409856021136,0.8946865079217932,3.1985613315091457,AVAX,AVAX-USD,27,Avalanche,4046873637.0,596669414.0,1.5032873459680063,0.32960084126923195
3072,2017-11-09,2026-04-08,-0.2882212130696276,2.379037743712983,0.14774443891594458,0.3590025007724762,0.3365451075864278,0.49365937841742097,0.8755952870624235,2.6404775418541213,XTZ,XTZ-USD,112,Tezos,388038623.0,13388201.0,1.9880405133893573,0.3168069097137144
3072,2017-11-09,2026-04-08,0.15456434533761856,3.930460647261347,0.07246799282824923,341.91790771484375,1.940499344505425,0.4392463882647134,0.9626097037044717,1.974385259814026,XMR,XMR-USD,18,Monero,6306173078.0,107470867.0,1.545254954982111,0.31472619636881577
468,2022-09-29,2024-01-09,-0.17374413915971235,-1.3887605909381142,0.09607986921558531,0.12233500182628632,1.4276487230313943,0.5235792371816224,1.092494339149493,1.5291295755313932,MNT,MNT-USD,41,Mantle,2204155603.0,44583796.0,1.873563439479442,0.30542346762763234
805,2024-01-24,2026-04-08,0.09340576159871244,-13.832077011679552,0.08029464737037095,1.741507844599255e-06,0.9477680784683957,0.6154865877196651,1.1148166072938641,1.3630614344588639,HTX,HTX-USD,51,HTX DAO,1596248543.0,18161142.0,1.6064135387210172,0.30043087849994843
2704,2018-02-20,2026-04-08,0.21248605141579435,-3.7432387237940605,0.04681331872289052,0.13904981315135956,1.0954303829685546,0.3461665694064575,0.8033340523269656,4.487639694920098,EDGE,EDGE-USD,113,edgeX,381061941.0,49892404.0,1.4873332489039353,0.29797844845744026
3072,2017-11-09,2026-04-08,0.15289885342024212,1.6652174958760029,0.044152601820565573,8.803138732910156,0.48777560013625015,0.3552504406168241,1.0781893257166182,2.6920887374542715,ETC,ETC-USD,55,Ethereum Classic,1375901271.0,66324418.0,1.5469204468994877,0.29629907918470566
2009,2020-10-07,2026-04-08,0.18716811554669344,0.4766531972228211,0.05620718110474754,7.71311616897583,1.1534784591883123,0.38871419455196743,1.0896894934824755,2.6948956899547047,DEXE,DEXE-USD,117,DeXe,361061206.0,24196275.0,1.5126511847730364,0.29517436181296464
2162,2020-05-07,2026-04-08,0.12157526443868558,-4.181177173417291,0.05451644950299983,0.06256429851055145,1.6097290863567513,0.6277828684511665,0.8891356749230698,2.136792509251039,JST,JST-USD,97,JUST,551771591.0,25509581.0,1.5782440358810441,0.29175055552671614
3038,2017-12-13,2026-04-08,-0.24402270697183032,3.6824149602569864,0.05026679135648393,0.9065764546394348,0.16142932579770525,0.3601010414688596,0.7375970106849149,5.568756542649287,FIL,FIL-USD,80,Filecoin,697613745.0,115590283.0,1.94384200729156,0.28829946518251237
1818,2021-04-16,2026-04-08,0.07605498198331906,-11.78587471069316,0.01858532946245417,6.08659729550709e-06,0.45186277616368553,0.5568340806185069,0.9057803555673091,2.1289875688387934,SHIB,SHIB-USD,32,Shiba Inu,3588889512.0,142303811.0,1.6237643183364106,0.28669653341935875
2014,2020-10-02,2026-04-08,0.017350907871006772,4.81519529802347,0.000713227477621925,94.49304962158203,0.6712104151443873,0.4597735436750537,0.9134052958467269,2.38939807642991,AAVE,AAVE-USD,54,Aave,1433474802.0,423745124.0,1.682468392448723,0.2847359997056076
2582,2019-03-14,2026-04-08,0.11829506117812512,1.1584899313819466,0.024635071391006957,1.7949681282043457,0.22249148009679137,0.40334697229797284,0.9342407994397635,3.1547050818900244,ATOM,ATOM-USD,72,Cosmos Hub,900613441.0,59536566.0,1.5815242391416047,0.28402362524470315
1181,2020-08-07,2023-10-31,-0.24391283189372,-1.7461449369613784,0.042506501098596994,0.008240999653935432,0.26526636087023076,0.2858899676960039,0.6963227369434029,5.554672387863548,POL,POL-USD,69,POL (ex-MATIC),979306942.0,57967253.0,1.9437321322134498,0.2784283517033006
811,2024-01-18,2026-04-08,0.056840597531551955,-0.6566546479982818,0.011732223961483212,0.2700295150279999,0.35582973974924076,0.3888965350806131,1.1383827131196078,1.785656924876487,ONDO,ONDO-USD,60,Ondo,1314427595.0,87220069.0,1.6429787027881777,0.2781867332243673
2002,2020-10-14,2026-04-08,0.012400164198822821,1.0805633478959087,0.0002909643104723747,1.2871818542480469,0.3975744921151334,0.38628578541650016,0.9353693957659611,2.6882955307316694,NEAR,NEAR-USD,50,NEAR Protocol,1662931542.0,209169433.0,1.687419136120907,0.2781867124169781
3072,2017-11-09,2026-04-08,0.016180689919712353,-1.9828949253986048,0.000616683757490688,0.16370035707950592,1.0441937028064856,0.46812121681894586,0.8305486144093142,2.4802546413553808,XLM,XLM-USD,21,Stellar,5425929696.0,129058787.0,1.6836386104000174,0.2743126178206166
3054,2017-11-09,2026-04-08,-0.17814597438345472,-5.339001589078767,0.011424507475766066,0.0008992253569886088,0.7823171723419224,0.2810302015392083,0.7807394353355763,2.740896289723304,ARB,ARB-USD,91,Arbitrum,611738265.0,85521377.0,1.8779652747031845,0.26859406017742127
2017,2020-09-29,2026-04-08,-0.11112951122353357,1.9204850529825181,0.013473251420457188,1.5097421407699585,0.5153438143646312,0.42522351533760594,0.8912222191875272,4.193922381754204,CAKE,CAKE-USD,100,PancakeSwap,495137413.0,41762961.0,1.8109488115432633,0.26587798096071047
964,2023-08-15,2026-04-08,-0.07736916782410769,-0.8859779989548521,0.012425229976553376,0.05633687973022461,0.2325111062088561,0.378730124428282,1.0926920210920148,2.420508978777493,SEI,SEI-USD,114,Sei,379195707.0,37929794.0,1.7771884681438375,0.26581514211812957
2497,2019-06-07,2026-04-08,-0.05151441075630419,-2.4073427255540105,0.023714814897349612,0.08001548796892166,1.3294920176858132,0.6364789868186604,1.0251671241124045,1.450954185998404,BDX,BDX-USD,90,Beldex,619443191.0,11209541.0,1.7513337110760339,0.26188719201039645
